topic,topic_description,reply_count,author_id,author_name,post_time,last_reply_by,last_reply_time
['陆行鸟区'],绝巴哈连击进度7=1法系d4 内置过本陪练,21,60659741,色甜枸,20-11-07 21:20,色甜枸,20-11-11 18:13
"['陆行鸟区', '机工']", 绝神兵+1 招募1=7,0,60159518,eeuftd,20-11-11 18:13,eeuftd,20-11-11 18:13
['莫古力区'], 零式cd队 7=1 招h1,13,60571698,elaxlaser,20-11-03 23:12,elaxlaser,20-11-11 18:09
['陆行鸟区'],5-8CD队伍招D3，D4，H2，ST,1,60267359,ric_Cat,20-11-11 18:04,ric_Cat,20-11-11 18:06
"['陆行鸟区', '陆行鸟区', '绝亚']",7=1H2，进度麻将渡劫，救救孩子,0,62245784,火柴的希儿,20-11-11 18:06,火柴的希儿,20-11-11 18:06
"['陆行鸟区', '绝巴哈']",p3开荒进度7=1mt,36,60607711,相依ouo,20-11-02 11:30,相依ouo,20-11-11 18:05
"['猫小胖区', '猫小胖区']", ,2,60844306,鱼酱丨,20-11-09 22:48,鱼酱丨,20-11-11 17:56
"['莫古力区', '绝神兵']", ,4,61885525,场SC,20-11-09 19:55,场SC,20-11-11 17:52
"['陆行鸟区', '绝巴哈']", ,6,42305857,唯的吉太,20-11-11 13:22,唯的吉太,20-11-11 17:51
['陆行鸟'],学者零式求职清CD或者8s开荒,3,43232854,藤挂铜铃丶,20-11-10 19:42,藤挂铜铃丶,20-11-11 17:51
['日区'], 国际服MANA5.4零式首周招募缺一个非远敏DPS位,4,62211528,格莉亚斯,20-11-09 18:56,格莉亚斯,20-11-11 17:51
['莫古力区'],绝亚开荒 7=1st,4,60457398,然飘渺,20-11-10 09:39,然飘渺,20-11-11 17:49
"['陆行鸟区', '绝亚晚间队']", ,0,61936734,落成殇,20-11-11 17:48,落成殇,20-11-11 17:48
"['美区', 'aether', '5.4', 'midcore']", 5.4 9-12s 首月招募(3-4周) 任意2非武士dps,12,62390302,thtzzzz1221,20-10-26 06:57,thtzzzz1221,20-11-11 17:46
"['陆行鸟区', '绝亚晚间队']", ,2,61936734,落成殇,20-11-10 17:43,落成殇,20-11-11 17:46
['陆行鸟区'],伊甸零式E5S-E7S佛系固定队招募,3,60914208,ka1,20-11-10 23:45,ka1,20-11-11 17:40
"['猫小胖区', '固定队求职']", ,7,62437295,eiraTGM,20-11-11 16:25,雏鸟,20-11-11 17:39
"['国际服', '美区', '部队招募', 'Primal - Lamia']", ,222,12776512,jakk,20-05-22 17:29,jakk,20-11-11 17:39
['美区'],Aether/Primal 5.4次周队求职,7,60777050,esse1,20-10-30 00:58,esse1,20-11-11 17:33
['猫小胖区'],绝巴哈p3求职,5,60671352,umylllz,20-11-08 22:51,umylllz,20-11-11 17:33
['莫古力区'],晚间绝亚队寻一临时非武士d2，进度火龙卷/二运,4,60618414,28350844jimmy,20-11-10 16:58,28350844jimmy,20-11-11 17:32
['莫古力区'],巴哈招募4=4,9,61372000,灬光丨丶,20-11-10 22:17,露露子,20-11-11 17:30
['猫小胖区']," 猫区巴哈p3初见队招募MT,H2,支持小龙俯冲进度，时间晚上8-11",1,61212712,ss999999999,20-10-20 18:45,ss999999999,20-11-11 17:28
['陆行鸟区'],绝亚从零3=5，晚10-12点,4,60275281,鸽pif,20-11-10 17:16,鸽pif,20-11-11 17:27
['莫古力区'], 新版本不开无聊没事做？来搞旧版本极神，零式，最低装等开荒！7=1,3,42804356,风君,20-11-09 22:57,风君,20-11-11 17:24
['陆行鸟区'],主职学者求职绝神兵开荒队,1,62552739,兰花春丽,20-11-11 11:50,兰花春丽,20-11-11 17:17
['猫小胖区'],萌新零式队e6s开荒7=1招任意H2或ST,2,41765150,如风的私人小,20-11-06 01:43,如风的私人小,20-11-11 17:16
['猫小胖区'],996l轮班制老年咕咕社畜找固定亲友,9,60180544,sdty,20-10-28 22:50,渡晓风,20-11-11 17:10
['日区'],MANA奶妈找一个5.4首周队,1,41656564,ssou狐狸,20-11-11 12:00,ssou狐狸,20-11-11 17:05
"['陆行鸟区', '绝亚', '招募']",绝亚历山大p2初见招人7=1，招D4,16,60751196,在南方的东北,20-11-08 22:01,在南方的东北,20-11-11 17:01
['猫小胖区'], 绝亚近战位黑魔寻求晚间低保+1队伍,4,42911010,risu_Makina,20-11-10 23:35,risu_Makina,20-11-11 16:50
['陆行鸟区'], 绝亚复建队 6=2  等副奶 法师d4,7,38262611,羽缘兔,20-11-10 01:29,羽缘兔,20-11-11 16:48
"['莫古力区', '求职']",H2求一个上午活动的e8s开荒队收留,0,43041577,曜曜,20-11-11 16:47,曜曜,20-11-11 16:47
"['莫古力区', '绝巴哈']",绝巴哈从零开荒7=1,23,43221920,oolferry,20-11-04 00:10,oolferry,20-11-11 16:47
['陆行鸟区'], 绝亚社畜周末队，7=1 招一召唤，进度P3 2运初见,8,60203483,uisama,20-11-08 23:32,uisama,20-11-11 16:43
"['美区', '固定队招募', 'Primal']",5.4首月休闲团固定队6=2 近战 + 副T或召唤,5,25422632,emonful,20-11-08 08:47,enny623hh,20-11-11 16:38
['陆行鸟区'], 求鸟区绝亚+n群,3,62534661,bababa,20-11-10 21:00,bababa,20-11-11 16:29
['莫古力区'],绝亚晚间队7=1 d4，进度二运初见,1,60834007,harlottecx,20-11-11 13:16,harlottecx,20-11-11 16:28
['陆行鸟区'],零式晚间休闲队招募1T MTST皆可 进度8S击退镜,0,62381858,分牧野,20-11-11 16:27,分牧野,20-11-11 16:27
['陆行鸟区'],绝亚下午队p4进度招一个召唤,3,13176875,lzhl,20-11-11 04:56,lzhl,20-11-11 16:26
['陆行鸟区'], 亲友向共鸣篇CD队招募H2，在这个长草期，给自己找个每周二上游戏的理由吧！,6,38466761,enyMan丶,20-10-19 00:42,enyMan丶,20-11-11 16:20
['陆行鸟区'],绝巴哈从零6=ST 非忍近战,18,40739062,ONG、幻想,20-11-06 14:32,ONG、幻想,20-11-11 16:16
['莫古力区'],绝亚p3进度招mt,2,41477743,愓,20-11-11 09:58,愓,20-11-11 16:14
['莫古力区'], 赤魔找开荒伊甸固(咕)定队伍,2,60334711,花鬓上残,20-11-10 13:29,花鬓上残,20-11-11 16:13
['猫小胖区'], 绝巴哈从零晚间开荒队招募D4，内置3过本副职陪练(已找到),2,61891394,akanawill,20-11-11 11:31,akanawill,20-11-11 16:08
"['莫古力区', '绝亚']",周末社畜队 开荒队,7,62067661,oerlove,20-11-05 21:27,oerlove,20-11-11 16:06
['日区'], MANA 5.4零式再生篇 首周肝队招募6=2,20,40579760,anfahaiyou,20-10-19 00:11,anfahaiyou,20-11-11 16:05
['猫小胖区'], 零式8S开荒队7=1 D4,5,42363835,ibiki丶丶,20-11-10 21:54,ibiki丶丶,20-11-11 16:03
"['陆行鸟区', '绝神兵', '招MT']", ,9,61978946,哎糖,20-10-30 12:16,哎糖,20-11-11 15:54
['猫小胖区'],猫区绝亚渡劫队找一远敏,2,43339390,gos,20-11-10 16:43,gos,20-11-11 15:51
"['猫小胖区', '猫小胖区']",零式固定队招募H1 d4,7,60838059,indgien,20-11-10 19:51,indgien,20-11-11 15:41
['陆行鸟区'],绝亚社畜佛系从零队招募7=1法系,2,38884014,夏墨迹、,20-11-10 10:30,夏墨迹、,20-11-11 15:40
['莫古力区'],猪区绝亚固定队p4到过本招人,4,41220921,香ayaka,20-11-09 15:22,ainmiel,20-11-11 15:39
['陆行鸟区'],绝亚火龙卷进度7=D1任意近战,1,42988776,只大火球,20-11-11 09:40,只大火球,20-11-11 15:34
['陆行鸟区'],鸟区H2求职共鸣零式，8sp3进度,0,62229571,由啾,20-11-11 15:30,由啾,20-11-11 15:30
"['陆行鸟区', '部队招募', '沃仙曦染']",  ,1,60980403,irgil333,20-11-11 13:39,云转雷暴,20-11-11 15:28
['莫古力区'],人齐了,3,60574165,vercast404,20-11-10 23:48,vercast404,20-11-11 15:28
['猫小胖区'], 绝亚p3火龙卷进度招募H1,1,14479321,明小水花,20-11-11 08:46,明小水花,20-11-11 15:26
['猫小胖区'], 零式萌新队差3个人，游戏时间是晚上,0,15154627,ei13723570709,20-11-11 15:25,ei13723570709,20-11-11 15:25
['陆行鸟区'],巴哈从0开荒队招t/召唤 7=1,5,60075181,北,20-11-04 07:30,北,20-11-11 15:12
['猫小胖区'], 绝亚DKMT求组+1队伍,3,42664701,拉巴拉小欧皇,20-11-04 07:50,拉巴拉小欧皇,20-11-11 15:11
['莫古力区'],绝巴哈7=1MT 进度进军,3,61795706,幕晨曦丶,20-11-09 10:32,幕晨曦丶,20-11-11 15:09
['陆行鸟区'],绝亚 从零 上午 时差 5=st 双奶,0,62499089,碗里的肉呢,20-11-11 15:05,碗里的肉呢,20-11-11 15:05
['陆行鸟区'],绝亚双奶求职,2,61876206,拔了根的树,20-11-10 02:32,拔了根的树,20-11-11 15:05
['猫小胖区'], 绝亚低保队7=1,13,42141064,芙塔莉娅,20-11-02 12:00,芙塔莉娅,20-11-11 15:04
"['日区', '猫小胖区']", ,8,42141064,芙塔莉娅,20-11-04 01:10,芙塔莉娅,20-11-11 15:03
['莫古力区'],梦羽宝镜找个一起打ulk的朋友,0,62552936,514916796,20-11-11 15:00,514916796,20-11-11 15:00
"['猫小胖区', '绝亚']", ,5,42329844,花。,20-11-09 20:57,花。,20-11-11 14:58
['莫古力区'], 绝亚晚间队招募非武士D2,7,61377472,ingmarst,20-11-09 15:05,ingmarst,20-11-11 14:53
['猫小胖区'],绝巴哈双奶求职，可换职业，进度p2小龙俯冲，接收从零,2,61900726,Tou馒头,20-11-08 02:50,Tou馒头,20-11-11 14:49
['猫小胖区'],绝亚p3火龙卷进度招募主奶,6,60389048,小久,20-11-04 23:35,小久,20-11-11 14:45
['日区'], MANA 5.4零式次周固定队招募5=3缺1T2D,11,40799471,と月,20-11-06 20:44,と月,20-11-11 14:44
"['猫小胖区', '绝巴哈']", ,6,41984304,木偶剧场的索,20-11-07 21:33,木偶剧场的索,20-11-11 14:41
['陆行鸟区'], 职业 白魔 求一个绝亚二运初见队伍,2,61434132,oserlhs,20-11-10 15:23,oserlhs,20-11-11 14:34
['莫古力区'], 莫古力找个晚间魔界花队伍,1,61533017,REESGHRTHJ,20-11-09 22:42,梵闻三界,20-11-11 14:34
['陆行鸟区'],绝亚低保队5=3,9,41630727,★╮ミRuler,20-11-01 10:09,米驴不是小兔,20-11-11 14:33
['莫古力区'], 求个晚上8点以后的魔界花队,2,61154190,羊羊是酱油羊,20-11-10 09:04,梵闻三界,20-11-11 14:32
['莫古力区'],绝亚下午+1队白魔1=7或者求捡走,5,61381664,enryshsid,20-11-11 03:32,enryshsid,20-11-11 14:23
['莫古力区'],从零开始零式开荒 e5s 7=1 H1,23,60331362,ラサメ溪°,20-11-09 00:10,ta123456,20-11-11 14:21
['陆行鸟区'],来个dps打巴哈吧！！巴哈从零6=2dps,4,60164438,iKoly,20-11-10 15:10,iKoly,20-11-11 14:18
['猫小胖区'], 绝亚，P2开荒，7=1，招非龙D1。内置过本,24,62242527,aredMelb,20-11-02 00:23,aredMelb,20-11-11 14:17
"['日区', 'MANA']", ,10,41314711,树下,20-11-02 14:54,树下,20-11-11 14:13
